comment,language,sentiment
mas malaki pa ang sainyo kontra sa isang long cage ko na ltwoo din haha anyare,Filipino,negative
medyo may gasgas di naka bubble wrap bad,Filipino,negative
photo and video not related to the product thank you uwu haha wow amazing,English,negative
thanks seller medyo maliit sya but it looks like its comfortable,English,negative
so disappointed waste of time and money cogs teeth some are worn out some not same shape or sizes and some pointed to other directions its up to you to order or not if you dont believe me,English,negative
very poor packaging,English,negative
1 week bago dumating,Filipino,negative
d maganda pagkabalot balot di naka separate puro gas gas yung item bak bak yung pintal at yung ibang part na gas gas talaga d nag iisip yung nag balot pero ok yung pagka balot lng talaga d ok buti pa si guro bata nag iisip pa,Filipino,negative
bad cover,English,negative
hindi nmn match yung bottle cage sa holder naka angat,Filipino,negative
received the product the product is shipped a little weekly personally the cushion looks much thicker than the old stuff i wear it and it looks bigger i dont know how but the beauty is full of hundreds very beautiful it will last the style and shape are very beautiful,English,negative
there are some scratches but its not big deal when it works properly as it should,English,negative
small and hard water cylinder cage difficult to put in water cylinders,English,negative
installed the parts and it worked fine braking is responsive medyo maikli lang yung brake cable sa rear when used on folding bikes item was packed on a plastic no box,Mixed/Other,negative
a small side grade for my rear derailleur since di na siya makapagshift ng ayos,Mixed/Other,negative
true to description true product quality ok the bottle has a bit of a plastic smell but not much the water frame seems to be smaller than the bottle so when you take the bottle out of the water frame it will be difficult for 1 time the rest is fine no problem,English,positive
suitability testing ko muna,Filipino,positive
medyo faded yung pagkakulay ng red,Filipino,negative
medyo may scratches yung item,English,negative
also temporary,English,negative
its telling me to continue rocking my mtb bike mga bro these days we need to be fit and age is but a number,English,negative
unsure of the quality may be bad or good,Mixed/Other,negative
matagal bago dumating,Filipino,negative
i will update later,English,negative
bilis naman ng delivery need lang mag palit ng adaptor kasi hindi kasya sa luma,Filipino,negative
okay naman sya malakas kaso may mga gasgas sya konti lang naman naman,Filipino,positive
wrong size yung isa dalawang 13tt ku yung dumating isang 11tt at 13tt,Mixed/Other,negative
pangit,Filipino,negative
the water holder does not match the bottle but can still be attached,English,negative
expect ko na sana na 910 days dadating pero 14 days pa dumating na hindi naman sa china galing,Filipino,negative
ok lang kaso hindi nka box,Filipino,negative
thanks seller well pack very nice,English,positive
natanggap kunapo mali lang po ng punag deliveran yung nag dedeliver buti kakilala ko yung pinag deliveran,Filipino,positive
product cover,English,positive
maigsi yung cable para ikabit sa mtb,Filipino,negative
ordered 3 pcs 13 t pulleys received only two the third one is only 11t,English,negative
ok naman sana original lahat pero di man lang binalot yung mga part na pede magasgasan dapat may sariling balot yung lever at caliper para di magasgasan pinag sama sa isang balot eh kaya ayun nag dikit at nagasgasan lever,Filipino,positive
4 lng binigay ko sa suitability dahil sa rear brake ko kinailangan ko ng 7 na spacer para sa dalawa kong bolts dahil sumasayad sa rotor ko yung caliper yun lng ok naman yung item legit shimano kaso walang free mount adapter anyways salamat,Filipino,positive
just received item that took almost 1month to arrive to my addressnot the seller fault but the kex courier is so slow,English,negative
wala nga lang spacer sa pulley sana check up in nyo bago ipadala,Filipino,negative
performance not yet try,English,negative
received wrong color my order is red not black seller reply my chat and ask for sorry and make an offer thanks to all,English,negative
the smell of junk plastic is not virgin plastic,English,negative
prompt delivery,English,negative
sir bkit mali pinadala na cogs na 10 speed sa akin dalawa yung 13 speed dalawa 10 speed paki palitan nyo nman tgal naghintay tpos mali pa,Filipino,negative
salamat isang linggo ako ng hintay kaso palpak pa ang liit ng tornilyo maganda sana,Filipino,negative
very bad smells of plastic finishing is not good,English,negative
thank you sellerslow moving 2go courier almost 13 days,English,negative
will buy again but took too long 1 months,English,negative
maganda naman sia nai ride ko na din kaso may mga konting scratches sia overall maganda sia lalo na yung braking power sana mag tagal sia,Filipino,positive
product quality it has been slightly scratched with drawing true to the descriptiontoodt,English,negative
boss paayos po sa susunod ng packaging nagasgas e,Filipino,negative
satisfied with the performance,English,positive
product quality averagely the 11t round in the set is defective missing 1 tooth does not come with a pat to extend the thread the problem for the big spinning is that the shop is not attentive unsatisfied,English,negative
this is not stainless steelill put a magnet in this stem bolts and the magnet quickly attached in this bolts,English,negative
i havent made the chance to test on rainy days or get it wet for a couple hours of riding it sure helps will butt aches,English,negative
the suitability is a bit bad,Filipino,negative
okay naman kaso yong pang unahan parang gamit na tangos na,Filipino,positive
bigat mabigat,Filipino,negative
do all cranksets fit all bikes in general terms most cranksets can be fitted to a variety of bottom bracket shells though much of this compatibility depends upon the availability of suitable hardware see next section any incompatibilities that do arise are often related to the length andor diameter of the crank axle fit sa ixf yung m19,English,negative
not the exact size too loose,English,negative
antagal ng delivery almost 2 weeks,Mixed/Other,negative
shipped immediately attached nicely on my bike fits well no damage but the water bottle is quite thin overall rating is okay,English,positive
legit pero ang tagal bago dumating,Filipino,positive
will updates again soon on the braking performance after using this brake pads,English,positive
ordered on the 16th received at bangkokon the 21st day well packed no damage get all the items as shown in the cover it must be aluminum not gold,English,negative
hi name thank you for waiting patiently our customer solutions officer will be happy to assist you with your concern please expect a calltext from our staff shortly thank you,English,positive
usage ordered the wrong model but kept for next time waiting for items to be sent from abroad about a week,English,negative
thank you seller matagal nga lang dumating,Filipino,positive
kulang yung inorder ko 3 inorder tapos 2 lng dumating,Filipino,negative
nagbakbak agad,Filipino,negative
manipis parang lata kulang sa spacer sa hubs kapag pinisil malambot mas makapal pa yung dati ko pudpod na nga lang ang ngipin kaya pinalitan ko im not sure kung tatagal sa long rides at trail dipa rebit make durability low,Filipino,negative
magandang quality sakto yung sukat kaso ang talaga dumating almost 1 week,Mixed/Other,positive
rarely has a supplier given us such complete cooperation we have always been able to rely on your flexibility and courteous service your staff has consistently made extra efforts to assist us in completing our projects on time,English,negative
the performance of the bike chain is outstanding and suitable,English,positive
not stainless expensive,Mixed/Other,negative
eto na yung ceramic hahahaha awit parang normal lang den,Filipino,negative
a bit heavy,English,negative
dalawa order ko isa lang dumating wala ng balak ayusin ung order ko,Filipino,negative
ok naman di ko lng inasahan mas maliit sa dati kong saddle,Filipino,positive
maayos pag kakapack nya kaso ang tagal magdeliver pero ayus lang naman salamat shopee,Filipino,positive
ok naman ang brake malakas talaga kumapit legit shimano talaga medyo matagal lang dumating at paki improve naman po packaging dapat ibalot nyo separately per items para maiwasan ang gasgas,Filipino,positive
honest review hindi applicable kapag internal cable ka kase my oil mahal kpag mag pa internal ka bibilhin mopa bleeder tsaka oil malakas ang preno kapag piniga mo ng malakas kaya mag ingat ka pudpud agad gulong mo dito chat seller bago mag order english siya 1010,Filipino,negative
kulang ng fittings pero all in all okay naman sya,Filipino,positive
matagal lang na deliver abot 10 days pero okay lang,Filipino,positive
it took almost 3 weeks to deliver,English,negative
316 order ko pero 272 yun size ng dumating false advertisements,Mixed/Other,negative
product quality metal quality true to product description unused metal dont know the results yet,English,positive
salamat kahit matagal dumating,Filipino,positive
nice product high quality but only the delivery is a bit long with the setting it is a bit wide,English,positive
performance after 34 days na deliver din agad kaso meron kaunting dents no box kasi legit shimano ipakabit ko na mamaya tignan natin ang resulta ng mt200 kasya naman sya sa 29er na mtbike,Filipino,positive
nka cartoon sya nung dumating and secure nmn kahit d nka bubble wrap medyo may katagalan lng dumating depende cguro sa area nmn nagustuhan ko sya and tama nmn ang ibinigay ni seller sa request ko salamat seller dahil d mo ako binigo,Filipino,positive
my issue ang front brake diko ma gamit sana naman e check nyo before nyo e ship sa buyer,Filipino,negative
ok naman yung item you get what you expect,English,positive
suitability not yet installed to my sons mtb,English,negative
i received the wrong size very dissapointed,English,negative
ayus naman kulang lang kasi wlang freebies,Filipino,positive
suitability wag kayo oorder may gasgas,Filipino,negative
matagal sya dumating sakin,Filipino,negative
makinis yung stainles at maganda,Filipino,positive
mabilis na shipout kaya mabilis din na deliver 6 days lang recieved ko na yung 11t may konting alog yung bearing yung 13t okay naman hindi ko ramdam pinagkaiba sa slx rd ko parang parehas lang naman shifting kinaibahan lang siguro sealed bearing na at hindi na bushing,Filipino,positive
paano to kulang nang 13t tapos wala yung lock ring nya nakaka dismaya,Filipino,negative
its to small,English,negative
ok n ok naka balot ng maayos salamat seller matagal lng nga dumating,Filipino,positive
looks like the item is a bit small m5 m6 but small,English,negative
item not stainless,English,negative
oks naman tagal lang dumating,Filipino,positive
another parpol burloloy sa bike,Mixed/Other,negative
very good quality helmet I recommend this shop,Filipino,positive
recommended item and product seller is approachable,English,positive
the package was not boxed just in thin plastic wrap this could be damage the items,English,negative
akala ko malakas ang grip ng hydraulic brake yun pala alalay din pala ang diin nya mas matigas pa yung may cable maganda overall,Filipino,positive
matagal lng kc dumating,Filipino,negative
delivery was delayed than scheduled no detailed notification shipping was not informed that it was sent must follow the item the quality is ok the error of the delivery is slow no return notifications wait a long time,English,negative
mabilis na nabilog yung ulo ng bolt kahit maayos naman yung pagka salpak nung allen key ko tamang sukat din ang gamit ko na allen may defect na siguro talaga yung bolt kaya nabilog kaagad,Filipino,negative
anung klase naman tong seller na to basta sinilid sa lagayan adi nagkiskisan mga bakal puro gasgas tuloy,Filipino,negative
dissapointe with the delivery it took too long to receive,English,negative
the product I received was defective and has scratches,English,negative
pangit yung item di man lang tumagal not recommened,English,negative
mali yong pinadala,Filipino,negative
not compatible to my bike,English,negative
medyo matagal pero quality naman,Filipino,positive
grabe sira ,Filipino,negative
short rear cable and has issues with usage,English,negative
kulang yung na received na item nakaka inis,Filipino,negative
fast delivery repeated order would prefer black inner cable as compare to market standard silver inner cable for my bike overall look is much nicer now and the quality can feel is different,English,negative
wala lng kasamang bracket,Filipino,negative
took too long to receive and has damages,English,positive
product quality sent wrong saddle sent wrong saddle,English,negative
tagal na dumating sira pa,Filipino,negative
pangit na reputation,English,negative
update dont buy to this shop theyre selling the nonelite version and claiming them to be elite versions i already went to 3 bike mechanics and they all say the same ayaw umakyat sa 50t na cog nakakainis,English,negative
the performance of the item was dissapointing di man lang tumagal ng isang linggo,Filipino,negative
pangit yung product masyadong malaki,English,negative
hindi black kagaya sa pic,Filipino,negative
may gasgas,Filipino,negative
some scratches,English,negative
antagal lang dumating nasa mindanao kase syempre marunong ako mag antay,Filipino,negative
medyo matagal lang ang delivery pero sulit naman legit ang product salamat seller at sa delivery personnel ang ganda,Filipino,positive
looks legit well packed responsive naman si seller kaya lang matagal dumating not recommended kung kailangan mo na tlaga yung item,Filipino,negative
nice item hindi n na alog ang crank ko,Filipino,positive
shop is bad not recommended very dissapointing,English,negative
kulang ang pinadalawla yung crank arm bolt ko,Filipino,negative
feel like not the best braking power shipping quite slow this time,English,negative
okay naman tagal lang dumating,Filipino,negative
hard plastic bottle cage is sturdy and flexible easy to insert and secure in place its bottle the bottle itself can hold a larger capacity liquid overall a solid build for a plastic ware except for the flip open topcover which feels cheap in design seller delivers quickly too,English,negative
hirap naman nito,Filipino,negative
kusankaka hot has been long apparently getinis me bfundang ahhh,Mixed/Other,negative
suitability rear cable is too short,English,negative
nice saddle and its comfortable,English,positive
kalako kasya sa ixf hindi naman pala umay,Filipino,negative
make poor quality brake cheeks thin but still slippery without grip what kind of brake,English,negative
ok yung item kaso matagal dumating pero malaki na discount 8 pesos ko lang nkuha,Filipino,positive
the water bottle is quite okie for sure but the water absorption hole is a bit small the mount is small compared to the bottle so it will be a bit difficult to put the bottle in using many bottles is scratched,English,positive
the only issue i can ever say is due to its thickness it can be hard to breathe when wearing it especially if using a fullfaced helmet,English,negative
tagal dumating grabe nag text sya lagi nan idedeliver na pero di dumadating,Filipino,negative
legit will buy again medyo matagal ang delivery kasi galing china but yung item maganda,Filipino,positive
dont buy please money will be wasted its fake seller not respond,English,negative
performance very nice,English,positive
not yet install latter for comments,English,negative
fast delivery wrongly bought the model it supposed to have hole in the middle anyway ordering new item with the hole in the middle thank you,English,negative
received pero di pala kasya,Filipino,negative
ok naman packaging medjo natagalan sa qc facility july 7 2022 dumating received july 13 2022 anyway thanks to the seller and the courier,English,positive
matagal lang dumating,Filipino,negative
not the same,English,negative
10 days to deliver,English,positive
not for 42t cogs,English,negative
defective,English,negative
worst pa sa worst 1 buwan dumating walang kwenta,Filipino,negative
i dont want this item nakakabanas akala ko legit,Mixed/Other,negative
sira ang pyesa nakaka disappoint,Mixed/Other,negative
1 its take 2 weeks to received it 2 the description of comparability is not true 1142t cogs is not compatible in this a3 ltwoo 8speed shifterrear derailleur you need to use goatlink this a3 8 speed shifter is suites for 14t32t to 36t please seller be honest to your future clients,English,negative
performance is very bad,English,negative
it took like a weeks to get my order so long,English,negative
the delivery is a little delayed but the item is as shown in the picture they are great they are in the middle of the joke,English,positive
the saddle is quite soft the material is probably not durable but the shape is beautiful,English,positive
trip ko lng pangit,Filipino,negative
create a picture of the shop offering cap fast delivery the page to buy from the shop is so bad,English,negative
sobrang bagal ng delivery kala mo galing pang planet namic yung actual item naman ok lang wala na magagawa andyan na eh,Filipino,negative
fake ltwoo a5,English,negative
tagal shipping promise,Filipino,negative
the product is very bad the performance lacked its use,English,negative
matagal nga lang dumating pero sulit,Filipino,positive
hindi kasya ang naorder ko maluwag,Filipino,negative
wrong size so many dents will not order again,English,negative
wrong item it didnt fit on my bike sorry,English,negative
may gagas na yung lockring nya,Filipino,negative
maganda sana kaso malaki na bili ko,Filipino,negative
ano bayan walang kasama spacer buti may extra akong spacer,Filipino,negative
isang piraso lang dumating dalawa order,Filipino,negative
all items complete and packed properly with bubble wrap it was shipped immediately and arrived late thank you seller,English,positive
tagal dumating pero worth it naman,Filipino,positive
di tumugma sa fovno crank,Filipino,negative
my orders are not complete,English,negative
very bad product,English,negative
okay naman siya nagamit ko lang ng isa nawala na haha,Filipino,positive
di sya ganun ka fit kya diko kinabit,Filipino,negative
